video_id,view_count,like_count,comment_count,duration_seconds,Year,Month,Day,Weekday,Time,Cleaned_Title,Duration_Category
UC7uvOqcUTs,150253,2442,79,631.0,2024,3,12,Tuesday,12:00:23,CTEs in MySQL Advanced MySQL Series,Medium
1KEbiqRWOkA,20122,753,50,714.0,2024,3,5,Tuesday,13:00:01,7 Mistakes to Avoid During Your Data Analyst Job Search,Medium
UOBTLzWY1vs,23058,1558,20,38.0,2024,3,1,Friday,13:43:29,DataAnalyst AnalystBuilder SQL,Short
8zOkBTs0yxs,5641,189,7,5697.0,2024,2,29,Thursday,17:10:18,QA Livestream February Livestream Ask Me Anything,Long
7NBt0V8ebGk,174747,4684,125,809.0,2024,2,27,Tuesday,13:00:08,Window Functions in MySQL Intermediate MySQL,Medium
FGC0cCAgGu0,8037,312,12,16.0,2024,2,23,Friday,13:34:27,Twitter making me tear up over here,Short
Vj6RqA_X-IE,145402,2333,93,661.0,2024,2,20,Tuesday,13:00:32,Subqueries in MySQL Intermediate MySQL,Medium
RYIiOG4LsvQ,130899,2298,116,533.0,2024,2,13,Tuesday,13:00:19,Case Statements in MySQL Intermediate MySQL,Medium
5y7tLNPVJPA,7564,245,5,9.0,2024,2,8,Thursday,13:59:09,We did our best,Short
_nf56aMPdZE,86841,1036,52,1485.0,2024,2,6,Tuesday,13:00:35,Microsoft Copilot Full Review AI in Word PowerPoint Excel and More,Long
XbDRYzYUmMo,13468,474,10,4496.0,2024,1,30,Tuesday,17:30:05,Top 5 Emerging Trends in 2024 CareerFoundry Webinar,Long
KRXSJb9ql1Y,146207,2499,81,714.0,2024,1,30,Tuesday,13:00:17,String Functions in MySQL Intermediate MySQL Series,Medium
iTQW_nDp938,140571,2500,87,442.0,2024,1,23,Tuesday,13:00:41,Unions in MySQL Intermediate MySQL,Medium
lXQzD09BOH0,298288,4211,179,1031.0,2024,1,16,Tuesday,13:00:42,Joins in MySQL Intermediate MySQL,Medium
xtC3212t4hI,32389,2152,33,57.0,2024,1,15,Monday,14:22:09,Is my background in Data Analytics,Short
KZKizyBS9YM,23541,587,23,1023.0,2024,1,11,Thursday,13:00:16,Solving VERY HARD SQL Interview Questions on Analyst Builder,Medium
I0_ca6iyo6w,31283,643,38,1286.0,2024,1,9,Tuesday,13:00:24,Solving HARD SQL Interview Questions on Analyst Builder,Long
GZS7AgQ4Ksg,15681,1039,7,30.0,2024,1,8,Monday,13:06:02,Hard Skills vs Soft Skills,Short
fT-8mRf_-Hk,34457,761,48,744.0,2024,1,4,Thursday,13:00:28,Solving Medium SQL Interview Questions on Analyst Builder,Medium
ZHaYOC0H5KE,63564,1398,58,738.0,2024,1,2,Tuesday,13:00:25,Solving Easy SQL Interview Questions on Analyst Builder,Medium
K0-8G3DgjA4,424181,16624,511,661.0,2023,12,26,Tuesday,13:00:10,How I Would Become a Data Analyst if I had to Start Over in 2024 6 Month Plan,Medium
ZnAydTqCtFU,150716,2872,94,237.0,2023,12,19,Tuesday,13:00:24,Limit Aliasing in MySQL MySQL Beginner Series,Short
qPOmj22QX04,10340,642,20,28.0,2023,12,13,Wednesday,16:12:42,Practice SQL and Python right on your Phone,Short
XD1ul5fpnGI,25320,1029,112,987.0,2023,12,12,Tuesday,13:00:21,Analyst Builder Full Launch The Learning Platform Built for Data Analysts,Medium
kifhSqep9UM,12060,475,14,16464.0,2023,12,11,Monday,19:04:05,Analyst Builder Full Launch LiveStream 20 Off Code Giveaways,Long
dCNjUOc1cBY,178559,3153,54,226.0,2023,12,5,Tuesday,13:00:35,Having vs Where in MySQL Beginner MySQL Series,Short
lEjmgE-hogg,12641,797,11,47.0,2023,11,29,Wednesday,18:00:02,Excel is Frustrating,Short
qxj3dx0c7RM,14283,432,11,4297.0,2023,11,28,Tuesday,17:36:39,7 Mistakes to Avoid in Your Data Analytics Job Search CareerFoundry Webinar,Long
zgYqUP_PhQo,238987,4060,96,646.0,2023,11,28,Tuesday,13:00:57,Group By Order By in MySQL Beginner MySQL Series,Medium
MARn_mssG4A,259647,4085,138,747.0,2023,11,21,Tuesday,13:00:24,Where Clause in MySQL Beginner MySQL Series,Medium
